  frame 0/4071
  frame 500/4071
  frame 1000/4071
  frame 1500/4071
  frame 2000/4071
  frame 2500/4071
  frame 3000/4071
  frame 3500/4071
  frame 4000/4071

=== ensemble on val seq [8] ===
  fusion   w(A)  best IoU   @th     Prec      Rec
    prob   0.00    0.7662  0.85   0.8778   0.8576
    prob   0.20    0.7735  0.80   0.8915   0.8539
    prob   0.40    0.7746  0.70   0.8939   0.8530
    prob   0.50    0.7749  0.70   0.8943   0.8531
    prob   0.60    0.7751  0.75   0.8959   0.8519
    prob   0.70    0.7752  0.80   0.8970   0.8510
    prob   0.80    0.7751  0.85   0.8979   0.8501
    prob   0.90    0.7747  0.93   0.9013   0.8465
    prob   1.00    0.7711  0.93   0.8906   0.8518
   logit   0.00    0.7662  0.85   0.8778   0.8576
   logit   0.20    0.7715  0.85   0.8848   0.8576
   logit   0.40    0.7743  0.85   0.8893   0.8569
   logit   0.50    0.7747  0.85   0.8900   0.8567
   logit   0.60    0.7742  0.85   0.8896   0.8565
   logit   0.70    0.7733  0.90   0.8915   0.8536
   logit   0.80    0.7723  0.90   0.8904   0.8534
   logit   0.90    0.7717  0.93   0.8916   0.8516
   logit   1.00    0.7711  0.93   0.8906   0.8518

BEST: IoU=0.7752 fusion=prob w(A)=0.70 threshold=0.80 P=0.8970 R=0.8510
