  frame 0/4071
  frame 500/4071
  frame 1000/4071
  frame 1500/4071
  frame 2000/4071
  frame 2500/4071
  frame 3000/4071
  frame 3500/4071
  frame 4000/4071

=== ensemble on val seq [8] ===
  fusion   w(A)  best IoU   @th     Prec      Rec
    prob   0.00    0.7662  0.85   0.8778   0.8576
    prob   0.20    0.7745  0.80   0.8923   0.8544
    prob   0.40    0.7762  0.60   0.8877   0.8607
    prob   0.50    0.7765  0.55   0.8910   0.8580
    prob   0.60    0.7761  0.60   0.8917   0.8568
    prob   0.70    0.7752  0.70   0.8943   0.8534
    prob   0.80    0.7747  0.45   0.8860   0.8605
    prob   0.90    0.7744  0.40   0.8850   0.8609
    prob   1.00    0.7741  0.50   0.8873   0.8586
   logit   0.00    0.7662  0.85   0.8778   0.8576
   logit   0.20    0.7715  0.80   0.8833   0.8591
   logit   0.40    0.7751  0.75   0.8876   0.8595
   logit   0.50    0.7762  0.70   0.8881   0.8603
   logit   0.60    0.7763  0.60   0.8869   0.8616
   logit   0.70    0.7760  0.50   0.8857   0.8624
   logit   0.80    0.7757  0.50   0.8864   0.8613
   logit   0.90    0.7749  0.45   0.8859   0.8608
   logit   1.00    0.7741  0.50   0.8873   0.8586

BEST: IoU=0.7765 fusion=prob w(A)=0.50 threshold=0.55 P=0.8910 R=0.8580
