  frame 0/4071
  frame 500/4071
  frame 1000/4071
  frame 1500/4071
  frame 2000/4071
  frame 2500/4071
  frame 3000/4071
  frame 3500/4071
  frame 4000/4071

=== ensemble on val seq [8] ===
  fusion   w(A)  best IoU   @th     Prec      Rec
    prob   0.35    0.7760  0.65   0.8889   0.8593
    prob   0.40    0.7763  0.61   0.8911   0.8577
    prob   0.45    0.7766  0.56   0.8898   0.8592
    prob   0.50    0.7767  0.53   0.8897   0.8595
    prob   0.55    0.7766  0.57   0.8923   0.8569
    prob   0.60    0.7764  0.61   0.8935   0.8556
    prob   0.65    0.7755  0.65   0.8930   0.8550
   logit   0.35    0.7743  0.65   0.8829   0.8630
   logit   0.40    0.7751  0.65   0.8843   0.8626
   logit   0.45    0.7758  0.63   0.8851   0.8626
   logit   0.50    0.7761  0.57   0.8845   0.8637
   logit   0.55    0.7764  0.56   0.8852   0.8633
   logit   0.60    0.7763  0.60   0.8869   0.8616
   logit   0.65    0.7761  0.56   0.8866   0.8617

BEST: IoU=0.7767 fusion=prob w(A)=0.50 threshold=0.53 P=0.8897 R=0.8595
