  batch 0/2036
  batch 200/2036
  batch 400/2036
  batch 600/2036
  batch 800/2036
  batch 1000/2036
  batch 1200/2036
  batch 1400/2036
  batch 1600/2036
  batch 1800/2036
  batch 2000/2036

=== point-level threshold sweep (val-08) ===
    th      IoU     prec      rec
  0.50   0.7741   0.8873   0.8586  <== best
  0.60   0.7739   0.8891   0.8566
  0.70   0.7732   0.8909   0.8541
  0.75   0.7727   0.8920   0.8525
  0.80   0.7719   0.8931   0.8505
  0.82   0.7716   0.8936   0.8496
  0.84   0.7711   0.8943   0.8485
  0.85   0.7709   0.8945   0.8479
  0.86   0.7706   0.8949   0.8473
  0.87   0.7703   0.8952   0.8467
  0.88   0.7701   0.8956   0.8460
  0.89   0.7698   0.8961   0.8453
  0.90   0.7696   0.8965   0.8446
  0.91   0.7694   0.8972   0.8438
  0.92   0.7690   0.8977   0.8429
  0.93   0.7686   0.8983   0.8418
  0.94   0.7681   0.8989   0.8407
  0.95   0.7677   0.8997   0.8395

BEST: IoU 0.7741 @ threshold 0.50 (P=0.8873 R=0.8586)
