/home/suba/MinkowskiEngine/MinkowskiEngine/__init__.py:36: UserWarning: The environment variable `OMP_NUM_THREADS` not set. MinkowskiEngine will automatically set `OMP_NUM_THREADS=16`. If you want to set `OMP_NUM_THREADS` manually, please export it on the command line before running a python script. e.g. `export OMP_NUM_THREADS=12; python your_program.py`. It is recommended to set it below 24.
  warnings.warn(
[iter 0] lr=2.00e-06 loss=4.589 motion=0.687 semantic=2.902 dice=1.000 offset=-0.000 | data 4.3s compute 2.2s
[iter 50] lr=1.02e-04 loss=4.497 motion=0.386 semantic=2.487 dice=0.980 offset=0.644 | data 0.0s compute 35.3s
[iter 100] lr=2.02e-04 loss=2.649 motion=0.043 semantic=1.426 dice=0.998 offset=0.181 | data 0.0s compute 33.0s
[iter 150] lr=3.02e-04 loss=2.692 motion=0.025 semantic=1.346 dice=0.982 offset=0.339 | data 0.0s compute 32.8s
[iter 200] lr=4.02e-04 loss=3.198 motion=0.015 semantic=1.531 dice=0.996 offset=0.655 | data 0.0s compute 34.2s
[iter 250] lr=5.02e-04 loss=1.902 motion=0.006 semantic=1.188 dice=0.465 offset=0.242 | data 0.0s compute 34.2s
[iter 300] lr=6.02e-04 loss=2.495 motion=0.023 semantic=0.977 dice=1.000 offset=0.495 | data 0.0s compute 33.4s
[iter 350] lr=7.02e-04 loss=1.935 motion=0.042 semantic=1.142 dice=0.229 offset=0.522 | data 0.0s compute 34.0s
[iter 400] lr=8.02e-04 loss=1.836 motion=0.001 semantic=0.835 dice=1.000 offset=0.000 | data 0.0s compute 33.9s
[iter 450] lr=9.02e-04 loss=1.601 motion=0.008 semantic=1.073 dice=0.272 offset=0.248 | data 0.0s compute 32.8s
[iter 500] lr=1.00e-03 loss=1.652 motion=0.028 semantic=0.952 dice=0.435 offset=0.238 | data 0.0s compute 32.9s
[iter 550] lr=1.00e-03 loss=2.037 motion=0.071 semantic=0.915 dice=0.163 offset=0.888 | data 0.0s compute 32.9s
[iter 600] lr=1.00e-03 loss=1.581 motion=0.004 semantic=1.009 dice=0.066 offset=0.502 | data 0.0s compute 33.9s
[iter 650] lr=1.00e-03 loss=1.567 motion=0.075 semantic=0.838 dice=0.172 offset=0.482 | data 0.0s compute 33.6s
[iter 700] lr=1.00e-03 loss=2.023 motion=0.024 semantic=0.816 dice=0.795 offset=0.387 | data 0.0s compute 32.8s
[iter 750] lr=1.00e-03 loss=1.347 motion=0.002 semantic=0.811 dice=0.084 offset=0.451 | data 0.0s compute 32.9s
[iter 800] lr=1.00e-03 loss=1.878 motion=0.139 semantic=1.050 dice=0.207 offset=0.482 | data 0.0s compute 33.4s
[iter 850] lr=1.00e-03 loss=1.612 motion=0.045 semantic=0.846 dice=0.513 offset=0.208 | data 0.0s compute 33.9s
[iter 900] lr=1.00e-03 loss=1.814 motion=0.000 semantic=0.814 dice=1.000 offset=0.000 | data 0.0s compute 32.3s
[iter 950] lr=1.00e-03 loss=1.680 motion=0.000 semantic=0.680 dice=1.000 offset=-0.000 | data 0.0s compute 33.2s
  [val @ 1000] moving_iou=0.3261 P=0.519 R=0.468 semantic_miou=0.1964
  [val @ 1000] new best -> best.pt (0.3261)
[iter 1000] lr=1.00e-03 loss=2.663 motion=0.289 semantic=0.850 dice=0.999 offset=0.524 | data 0.0s compute 33.5s
[iter 1050] lr=1.00e-03 loss=1.718 motion=0.004 semantic=0.714 dice=1.000 offset=0.000 | data 0.0s compute 32.9s
[iter 1100] lr=9.99e-04 loss=1.901 motion=0.077 semantic=1.224 dice=0.134 offset=0.466 | data 0.0s compute 33.4s
[iter 1150] lr=9.99e-04 loss=1.478 motion=0.010 semantic=0.871 dice=0.305 offset=0.291 | data 0.0s compute 32.5s
[iter 1200] lr=9.99e-04 loss=1.933 motion=0.015 semantic=0.778 dice=0.999 offset=0.141 | data 0.0s compute 33.2s
[iter 1250] lr=9.99e-04 loss=1.671 motion=0.000 semantic=0.671 dice=1.000 offset=0.000 | data 0.0s compute 33.3s
[iter 1300] lr=9.99e-04 loss=1.716 motion=0.000 semantic=0.716 dice=1.000 offset=-0.000 | data 0.0s compute 33.0s
[iter 1350] lr=9.99e-04 loss=1.191 motion=0.007 semantic=0.755 dice=0.078 offset=0.352 | data 0.0s compute 32.8s
[iter 1400] lr=9.99e-04 loss=1.622 motion=0.004 semantic=0.774 dice=0.274 offset=0.571 | data 0.0s compute 33.7s
[iter 1450] lr=9.99e-04 loss=1.535 motion=0.000 semantic=0.535 dice=1.000 offset=0.000 | data 0.0s compute 32.3s
[iter 1500] lr=9.98e-04 loss=1.782 motion=0.005 semantic=1.236 dice=0.411 offset=0.130 | data 0.0s compute 34.3s
[iter 1550] lr=9.98e-04 loss=1.400 motion=0.011 semantic=0.897 dice=0.052 offset=0.440 | data 0.0s compute 33.1s
[iter 1600] lr=9.98e-04 loss=1.650 motion=0.023 semantic=0.627 dice=1.000 offset=-0.000 | data 0.0s compute 32.8s
[iter 1650] lr=9.98e-04 loss=1.137 motion=0.006 semantic=0.586 dice=0.160 offset=0.386 | data 0.0s compute 32.2s
[iter 1700] lr=9.98e-04 loss=1.479 motion=0.046 semantic=0.852 dice=0.171 offset=0.410 | data 0.0s compute 32.9s
[iter 1750] lr=9.98e-04 loss=3.076 motion=0.297 semantic=0.778 dice=0.927 offset=1.074 | data 0.0s compute 32.9s
[iter 1800] lr=9.97e-04 loss=1.488 motion=0.000 semantic=0.488 dice=1.000 offset=-0.000 | data 0.0s compute 32.9s
[iter 1850] lr=9.97e-04 loss=1.706 motion=0.055 semantic=0.988 dice=0.168 offset=0.494 | data 0.0s compute 33.8s
[iter 1900] lr=9.97e-04 loss=1.846 motion=0.001 semantic=0.845 dice=1.000 offset=-0.000 | data 0.0s compute 32.9s
[iter 1950] lr=9.97e-04 loss=1.255 motion=0.004 semantic=0.647 dice=0.380 offset=0.223 | data 0.0s compute 34.1s
  [val @ 2000] moving_iou=0.3723 P=0.748 R=0.425 semantic_miou=0.2338
  [val @ 2000] new best -> best.pt (0.3723)
[iter 2000] lr=9.96e-04 loss=1.533 motion=0.001 semantic=0.532 dice=1.000 offset=0.000 | data 0.0s compute 33.2s
[iter 2050] lr=9.96e-04 loss=0.839 motion=0.007 semantic=0.433 dice=0.280 offset=0.120 | data 0.0s compute 31.6s
