/home/suba/MinkowskiEngine/MinkowskiEngine/__init__.py:36: UserWarning: The environment variable `OMP_NUM_THREADS` not set. MinkowskiEngine will automatically set `OMP_NUM_THREADS=16`. If you want to set `OMP_NUM_THREADS` manually, please export it on the command line before running a python script. e.g. `export OMP_NUM_THREADS=12; python your_program.py`. It is recommended to set it below 24.
  warnings.warn(
[iter 0] lr=2.00e-06 loss=5.149 motion=0.697 semantic=2.990 dice=1.000 offset=0.462 | data 2.1s compute 2.0s
[iter 50] lr=1.02e-04 loss=4.541 motion=0.379 semantic=2.692 dice=0.994 offset=0.476 | data 0.0s compute 32.9s
[iter 100] lr=2.02e-04 loss=2.957 motion=0.065 semantic=1.352 dice=1.000 offset=0.540 | data 0.0s compute 32.4s
[iter 150] lr=3.02e-04 loss=2.683 motion=0.022 semantic=1.036 dice=0.986 offset=0.639 | data 0.0s compute 32.7s
[iter 200] lr=4.02e-04 loss=2.546 motion=0.064 semantic=1.477 dice=0.470 offset=0.536 | data 0.0s compute 33.1s
[iter 250] lr=5.02e-04 loss=2.646 motion=0.009 semantic=1.061 dice=1.000 offset=0.576 | data 0.0s compute 32.3s
[iter 300] lr=6.02e-04 loss=2.618 motion=0.036 semantic=1.101 dice=1.000 offset=0.481 | data 0.0s compute 32.0s
[iter 350] lr=7.02e-04 loss=1.703 motion=0.007 semantic=0.978 dice=0.261 offset=0.456 | data 0.0s compute 32.2s
[iter 400] lr=8.02e-04 loss=2.434 motion=0.092 semantic=0.868 dice=0.996 offset=0.478 | data 0.0s compute 32.0s
[iter 450] lr=9.02e-04 loss=2.483 motion=0.001 semantic=0.960 dice=1.000 offset=0.522 | data 0.0s compute 32.8s
[iter 500] lr=1.00e-03 loss=2.586 motion=0.029 semantic=1.155 dice=0.939 offset=0.464 | data 0.0s compute 32.5s
[iter 550] lr=1.00e-03 loss=2.451 motion=0.000 semantic=0.971 dice=1.000 offset=0.480 | data 0.0s compute 31.8s
[iter 600] lr=9.99e-04 loss=2.674 motion=0.000 semantic=1.153 dice=1.000 offset=0.521 | data 0.0s compute 31.5s
[iter 650] lr=9.97e-04 loss=1.863 motion=0.008 semantic=0.647 dice=0.752 offset=0.456 | data 0.0s compute 32.2s
[iter 700] lr=9.95e-04 loss=2.501 motion=0.000 semantic=0.946 dice=1.000 offset=0.555 | data 0.0s compute 31.6s
[iter 750] lr=9.92e-04 loss=2.249 motion=0.000 semantic=0.695 dice=1.000 offset=0.554 | data 0.0s compute 32.7s
[iter 800] lr=9.89e-04 loss=2.234 motion=0.000 semantic=0.737 dice=1.000 offset=0.496 | data 0.0s compute 32.5s
[iter 850] lr=9.85e-04 loss=2.244 motion=0.002 semantic=0.763 dice=1.000 offset=0.479 | data 0.0s compute 32.8s
[iter 900] lr=9.81e-04 loss=1.609 motion=0.029 semantic=0.847 dice=0.195 offset=0.537 | data 0.0s compute 32.2s
[iter 950] lr=9.76e-04 loss=1.565 motion=0.033 semantic=0.840 dice=0.265 offset=0.428 | data 0.0s compute 32.5s
  [val @ 1000] moving_iou=0.2983 P=0.540 R=0.400 semantic_miou=0.1999
  [val @ 1000] new best -> best.pt (0.2983)
[iter 1000] lr=9.70e-04 loss=1.774 motion=0.124 semantic=0.977 dice=0.243 offset=0.430 | data 0.0s compute 31.5s
[iter 1050] lr=9.64e-04 loss=1.355 motion=0.011 semantic=0.722 dice=0.091 offset=0.531 | data 0.0s compute 33.2s
[iter 1100] lr=9.57e-04 loss=1.742 motion=0.009 semantic=1.054 dice=0.150 offset=0.529 | data 0.0s compute 32.9s
[iter 1150] lr=9.49e-04 loss=1.351 motion=0.029 semantic=0.674 dice=0.125 offset=0.523 | data 0.0s compute 32.7s
[iter 1200] lr=9.41e-04 loss=2.447 motion=0.000 semantic=0.902 dice=1.000 offset=0.545 | data 0.0s compute 31.9s
