/home/suba/MinkowskiEngine/MinkowskiEngine/__init__.py:36: UserWarning: The environment variable `OMP_NUM_THREADS` not set. MinkowskiEngine will automatically set `OMP_NUM_THREADS=16`. If you want to set `OMP_NUM_THREADS` manually, please export it on the command line before running a python script. e.g. `export OMP_NUM_THREADS=12; python your_program.py`. It is recommended to set it below 24.
  warnings.warn(
[iter 0] lr=2.00e-06 loss=4.850 motion=0.757 semantic=3.093 dice=1.000 | data 1.6s compute 2.4s
[iter 50] lr=1.02e-04 loss=4.517 motion=0.571 semantic=2.946 dice=1.000 | data 0.0s compute 28.1s
[iter 100] lr=2.02e-04 loss=2.992 motion=0.132 semantic=1.860 dice=1.000 | data 0.0s compute 27.2s
[iter 150] lr=3.02e-04 loss=2.826 motion=0.157 semantic=1.685 dice=0.985 | data 0.0s compute 27.5s
[iter 200] lr=4.02e-04 loss=2.634 motion=0.303 semantic=1.350 dice=0.981 | data 0.0s compute 29.5s
[iter 250] lr=5.02e-04 loss=2.553 motion=0.073 semantic=1.487 dice=0.993 | data 0.0s compute 27.5s
[iter 300] lr=6.02e-04 loss=2.361 motion=0.056 semantic=1.307 dice=0.998 | data 0.0s compute 27.4s
[iter 350] lr=7.02e-04 loss=2.182 motion=0.035 semantic=1.147 dice=1.000 | data 0.0s compute 27.9s
[iter 400] lr=8.02e-04 loss=1.949 motion=0.018 semantic=0.932 dice=1.000 | data 0.0s compute 27.2s
[iter 450] lr=9.02e-04 loss=2.040 motion=0.053 semantic=0.986 dice=1.000 | data 0.0s compute 26.3s
[iter 500] lr=1.00e-03 loss=2.079 motion=0.017 semantic=1.063 dice=1.000 | data 0.0s compute 27.2s
[iter 550] lr=1.00e-03 loss=2.174 motion=0.030 semantic=1.145 dice=1.000 | data 0.0s compute 27.6s
[iter 600] lr=1.00e-03 loss=2.165 motion=0.158 semantic=1.010 dice=0.997 | data 0.0s compute 27.4s
[iter 650] lr=1.00e-03 loss=1.989 motion=0.058 semantic=0.941 dice=0.990 | data 0.0s compute 28.6s
[iter 700] lr=1.00e-03 loss=1.899 motion=0.034 semantic=1.224 dice=0.641 | data 0.0s compute 27.8s
[iter 750] lr=1.00e-03 loss=2.344 motion=0.038 semantic=1.307 dice=1.000 | data 0.0s compute 28.1s
[iter 800] lr=1.00e-03 loss=1.937 motion=0.028 semantic=0.910 dice=0.999 | data 0.0s compute 28.5s
[iter 850] lr=1.00e-03 loss=1.961 motion=0.034 semantic=0.932 dice=0.995 | data 0.0s compute 27.8s
[iter 900] lr=1.00e-03 loss=2.028 motion=0.045 semantic=1.025 dice=0.957 | data 0.0s compute 28.0s
[iter 950] lr=1.00e-03 loss=2.356 motion=0.012 semantic=1.344 dice=1.000 | data 0.0s compute 27.5s
  [val @ 1000] moving_iou=0.0429 P=0.044 R=0.565 semantic_miou=0.1405
  [val @ 1000] new best -> best.pt (0.0429)
