/home/suba/MinkowskiEngine/MinkowskiEngine/__init__.py:36: UserWarning: The environment variable `OMP_NUM_THREADS` not set. MinkowskiEngine will automatically set `OMP_NUM_THREADS=16`. If you want to set `OMP_NUM_THREADS` manually, please export it on the command line before running a python script. e.g. `export OMP_NUM_THREADS=12; python your_program.py`. It is recommended to set it below 24.
  warnings.warn(
[iter 0] lr=2.00e-06 loss=4.656 motion=0.663 semantic=3.001 dice=0.993 | data 2.0s compute 2.1s
[iter 50] lr=1.02e-04 loss=3.886 motion=0.339 semantic=2.549 dice=0.999 | data 0.0s compute 34.1s
[iter 100] lr=2.02e-04 loss=2.619 motion=0.034 semantic=1.585 dice=1.000 | data 0.0s compute 32.8s
[iter 150] lr=3.02e-04 loss=2.078 motion=0.021 semantic=1.057 dice=1.000 | data 0.0s compute 32.8s
[iter 200] lr=4.02e-04 loss=2.079 motion=0.076 semantic=1.017 dice=0.986 | data 0.0s compute 33.4s
[iter 250] lr=5.02e-04 loss=2.092 motion=0.147 semantic=0.963 dice=0.982 | data 0.0s compute 30.2s
[iter 300] lr=6.02e-04 loss=1.780 motion=0.001 semantic=0.779 dice=1.000 | data 0.0s compute 32.6s
[iter 350] lr=7.02e-04 loss=2.149 motion=0.001 semantic=1.149 dice=1.000 | data 0.0s compute 32.2s
[iter 400] lr=8.02e-04 loss=1.934 motion=0.000 semantic=0.934 dice=1.000 | data 0.0s compute 33.0s
[iter 450] lr=9.02e-04 loss=1.858 motion=0.000 semantic=0.858 dice=1.000 | data 0.0s compute 32.3s
[iter 500] lr=1.00e-03 loss=0.947 motion=0.021 semantic=0.807 dice=0.118 | data 0.0s compute 33.0s
[iter 550] lr=1.00e-03 loss=0.927 motion=0.017 semantic=0.846 dice=0.064 | data 0.0s compute 33.3s
[iter 600] lr=1.00e-03 loss=1.755 motion=0.091 semantic=0.917 dice=0.746 | data 0.0s compute 33.9s
[iter 650] lr=1.00e-03 loss=1.734 motion=0.000 semantic=0.733 dice=1.000 | data 0.0s compute 32.6s
[iter 700] lr=1.00e-03 loss=2.073 motion=0.001 semantic=1.072 dice=1.000 | data 0.0s compute 32.4s
[iter 750] lr=1.00e-03 loss=1.411 motion=0.084 semantic=0.798 dice=0.529 | data 0.0s compute 33.1s
[iter 800] lr=1.00e-03 loss=0.889 motion=0.002 semantic=0.804 dice=0.083 | data 0.0s compute 31.5s
[iter 850] lr=1.00e-03 loss=1.782 motion=0.047 semantic=0.736 dice=0.999 | data 0.0s compute 33.7s
[iter 900] lr=1.00e-03 loss=1.099 motion=0.014 semantic=1.057 dice=0.028 | data 0.0s compute 32.7s
[iter 950] lr=1.00e-03 loss=2.077 motion=0.046 semantic=1.338 dice=0.694 | data 0.0s compute 32.2s
  [val @ 1000] moving_iou=0.3085 P=0.501 R=0.445 semantic_miou=0.2028
  [val @ 1000] new best -> best.pt (0.3085)
[iter 1000] lr=1.00e-03 loss=1.779 motion=0.000 semantic=0.779 dice=1.000 | data 0.0s compute 33.1s
[iter 1050] lr=1.00e-03 loss=1.398 motion=0.036 semantic=0.805 dice=0.557 | data 0.0s compute 32.9s
[iter 1100] lr=9.99e-04 loss=1.402 motion=0.034 semantic=0.728 dice=0.640 | data 0.0s compute 32.5s
[iter 1150] lr=9.99e-04 loss=1.095 motion=0.003 semantic=0.838 dice=0.253 | data 0.0s compute 29.7s
[iter 1200] lr=9.99e-04 loss=1.377 motion=0.015 semantic=0.582 dice=0.780 | data 0.0s compute 32.7s
[iter 1250] lr=9.99e-04 loss=1.269 motion=0.018 semantic=1.106 dice=0.144 | data 0.0s compute 31.8s
[iter 1300] lr=9.99e-04 loss=1.589 motion=0.000 semantic=0.589 dice=1.000 | data 0.0s compute 32.0s
[iter 1350] lr=9.99e-04 loss=1.634 motion=0.081 semantic=0.721 dice=0.832 | data 0.0s compute 32.4s
[iter 1400] lr=9.99e-04 loss=1.645 motion=0.000 semantic=0.645 dice=1.000 | data 0.0s compute 32.8s
[iter 1450] lr=9.99e-04 loss=1.653 motion=0.000 semantic=0.653 dice=1.000 | data 0.0s compute 33.2s
[iter 1500] lr=9.98e-04 loss=1.726 motion=0.009 semantic=0.740 dice=0.977 | data 0.0s compute 32.0s
[iter 1550] lr=9.98e-04 loss=2.180 motion=0.451 semantic=0.739 dice=0.990 | data 0.0s compute 32.6s
[iter 1600] lr=9.98e-04 loss=1.489 motion=0.133 semantic=0.879 dice=0.478 | data 0.0s compute 33.1s
[iter 1650] lr=9.98e-04 loss=1.630 motion=0.011 semantic=0.955 dice=0.663 | data 0.0s compute 32.9s
[iter 1700] lr=9.98e-04 loss=0.855 motion=0.005 semantic=0.581 dice=0.269 | data 0.0s compute 32.5s
[iter 1750] lr=9.98e-04 loss=1.926 motion=0.010 semantic=0.918 dice=0.999 | data 0.0s compute 33.5s
[iter 1800] lr=9.97e-04 loss=1.471 motion=0.000 semantic=0.471 dice=1.000 | data 0.0s compute 31.2s
[iter 1850] lr=9.97e-04 loss=1.405 motion=0.340 semantic=0.770 dice=0.295 | data 0.0s compute 32.4s
[iter 1900] lr=9.97e-04 loss=1.018 motion=0.006 semantic=0.605 dice=0.406 | data 0.0s compute 32.9s
[iter 1950] lr=9.97e-04 loss=0.727 motion=0.001 semantic=0.608 dice=0.117 | data 0.0s compute 32.9s
  [val @ 2000] moving_iou=0.4231 P=0.699 R=0.517 semantic_miou=0.2363
  [val @ 2000] new best -> best.pt (0.4231)
[iter 2000] lr=9.96e-04 loss=1.504 motion=0.000 semantic=0.504 dice=1.000 | data 0.0s compute 31.6s
[iter 2050] lr=9.96e-04 loss=1.528 motion=0.001 semantic=0.542 dice=0.985 | data 0.0s compute 31.7s
[iter 2100] lr=9.96e-04 loss=1.379 motion=0.050 semantic=0.869 dice=0.460 | data 0.0s compute 31.5s
[iter 2150] lr=9.96e-04 loss=0.833 motion=0.002 semantic=0.752 dice=0.079 | data 0.0s compute 31.9s
[iter 2200] lr=9.95e-04 loss=1.038 motion=0.022 semantic=0.956 dice=0.060 | data 0.0s compute 32.5s
[iter 2250] lr=9.95e-04 loss=1.821 motion=0.000 semantic=0.820 dice=1.000 | data 0.0s compute 31.6s
[iter 2300] lr=9.95e-04 loss=0.777 motion=0.015 semantic=0.685 dice=0.077 | data 0.0s compute 32.1s
[iter 2350] lr=9.95e-04 loss=1.593 motion=0.000 semantic=0.593 dice=1.000 | data 0.0s compute 32.8s
[iter 2400] lr=9.94e-04 loss=1.262 motion=0.004 semantic=0.846 dice=0.412 | data 0.0s compute 32.1s
[iter 2450] lr=9.94e-04 loss=1.065 motion=0.008 semantic=0.494 dice=0.562 | data 0.0s compute 32.4s
[iter 2500] lr=9.94e-04 loss=1.898 motion=0.331 semantic=1.122 dice=0.445 | data 0.0s compute 33.6s
[iter 2550] lr=9.93e-04 loss=1.656 motion=0.000 semantic=0.655 dice=1.000 | data 0.0s compute 33.3s
[iter 2600] lr=9.93e-04 loss=1.822 motion=0.000 semantic=0.822 dice=1.000 | data 0.0s compute 33.2s
[iter 2650] lr=9.93e-04 loss=1.721 motion=0.003 semantic=0.718 dice=1.000 | data 0.0s compute 32.3s
[iter 2700] lr=9.92e-04 loss=0.913 motion=0.009 semantic=0.771 dice=0.133 | data 0.0s compute 32.8s
[iter 2750] lr=9.92e-04 loss=0.853 motion=0.012 semantic=0.637 dice=0.204 | data 0.0s compute 31.3s
[iter 2800] lr=9.92e-04 loss=0.730 motion=0.012 semantic=0.588 dice=0.129 | data 0.0s compute 33.7s
[iter 2850] lr=9.91e-04 loss=1.604 motion=0.000 semantic=0.604 dice=1.000 | data 0.0s compute 31.6s
[iter 2900] lr=9.91e-04 loss=1.597 motion=0.016 semantic=0.581 dice=1.000 | data 0.0s compute 32.0s
[iter 2950] lr=9.91e-04 loss=1.590 motion=0.000 semantic=0.590 dice=1.000 | data 0.0s compute 32.9s
  [val @ 3000] moving_iou=0.4322 P=0.821 R=0.477 semantic_miou=0.2549
  [val @ 3000] new best -> best.pt (0.4322)
[iter 3000] lr=9.90e-04 loss=0.723 motion=0.004 semantic=0.519 dice=0.200 | data 0.0s compute 33.2s
[iter 3050] lr=9.90e-04 loss=1.640 motion=0.001 semantic=0.640 dice=1.000 | data 0.0s compute 32.4s
[iter 3100] lr=9.89e-04 loss=0.969 motion=0.063 semantic=0.770 dice=0.136 | data 0.0s compute 30.7s
[iter 3150] lr=9.89e-04 loss=1.551 motion=0.002 semantic=0.549 dice=1.000 | data 0.0s compute 32.6s
[iter 3200] lr=9.89e-04 loss=1.128 motion=0.027 semantic=0.812 dice=0.289 | data 0.0s compute 31.6s
[iter 3250] lr=9.88e-04 loss=0.787 motion=0.026 semantic=0.565 dice=0.195 | data 0.0s compute 32.6s
[iter 3300] lr=9.88e-04 loss=1.645 motion=0.002 semantic=0.644 dice=1.000 | data 0.0s compute 32.5s
[iter 3350] lr=9.87e-04 loss=0.697 motion=0.002 semantic=0.613 dice=0.082 | data 0.0s compute 33.1s
[iter 3400] lr=9.87e-04 loss=1.198 motion=0.145 semantic=0.589 dice=0.465 | data 0.0s compute 33.5s
[iter 3450] lr=9.86e-04 loss=0.718 motion=0.003 semantic=0.655 dice=0.060 | data 0.0s compute 32.7s
[iter 3500] lr=9.86e-04 loss=0.870 motion=0.003 semantic=0.829 dice=0.039 | data 0.0s compute 32.9s
[iter 3550] lr=9.85e-04 loss=0.893 motion=0.061 semantic=0.710 dice=0.122 | data 0.0s compute 33.0s
[iter 3600] lr=9.85e-04 loss=0.710 motion=0.026 semantic=0.571 dice=0.114 | data 0.0s compute 33.1s
[iter 3650] lr=9.84e-04 loss=1.446 motion=0.005 semantic=0.441 dice=1.000 | data 0.0s compute 31.9s
[iter 3700] lr=9.84e-04 loss=0.986 motion=0.012 semantic=0.608 dice=0.366 | data 0.0s compute 30.7s
